n.name,n.akaEn
London,"[London, UK,London, United Kingdom,London, England]"
London,"[London ON,London, Ontario]"
city,null
Berlin,"[Berlin, Germany]"
Mumbai,[Bombay]
New York City,"[NYC,New York,the five boroughs,Big Apple,City of New York,NY City]"
Algiers,null
Sofia,"[Serdica,Sredez,Sofija]"
Moscow,"[Moskva,Москва,Moscow, Russia,Moskva Federal City, Russia,Moscow, USSR,Moskva, Russia,City of Moscow,Moscow, Russian Federation,Moscow, Soviet Union,Moscow, Russian SFSR]"
Tokyo,"[Tōkyō,Tôkyô,Tokyo-to,Tokyo Metropolitan prefecture,Tōkyō-to,Tôkyô-to,Tokyo Metropolis,Tokio,Tokyo Prefecture]"
Beijing,"[Peking,Beiping,Peiping,Yanjing,Zhongdu,Khanbaliq,BJ]"
Zagreb,"[KK Zagreb,Agram]"
Delhi,"[National Capital Region of Delhi,NCR]"
Johannesburg,"[Jo'burg,eGoli,Jozi]"
Oslo,"[Christiania,Kristiania]"
Sylhet,null
Shanghai,[Hu]
Buenos Aires,"[Buenos Ayres,Autonomous City of Buenos Aires,Buenos Aires, Argentina]"
Podgorica,"[Capital of Montenegro,Burguriçe,Podgoritsa,Titograd,Podgoritza]"
Phnom Penh,null
Jakarta,"[Special Capital Region of Jakarta,DKI Jakarta,JKT]"
Amsterdam,"[Mokum,Amsterdam, NL,Amsterdam, Netherlands,A'dam]"
Santo Domingo,"[Santo Domingo de Guzmán,Santo Domingo, Dominican Republic,Santo Domingo de Guzman]"
La Paz,"[Nuestra Señora de La Paz,La Paz, Bolivia]"
Liverpool,null
Singapore,"[Republic of Singapore,SG,sg,🇸🇬]"
Hong Kong,"[HKSAR,HKG,HK,Hong Kong SAR,China Hong Kong,Hong Kong, China,hk,Hong Kong SAR, China,🇭🇰,Hong Kong Special Administrative Region]"
Zanzibar City,null
Munich,"[München,Munchen,Muenchen,Minga,Monachium]"
Leicester,"[Leicester, England]"